Retsku,"Product Title","Detailed Description",Categorization,"Product URL","Primary Image URL","Selling Price",Condition,"Manufacturer Name","Manufacturer Part Number","UPC / EAN",Availability,Size,"Shipping Cost",Weight
10406,"Tarkett 100 Clear Thin Spread Adhesive 1 Gallon Bucket","Tarkett 100 Clear Thin Spread Adhesive 1 Gallon Bucket",,http://23.251.155.152/tarkett-100-clear-thin-spread-adhesive-1-gallon-bucket/nafco-permastone/catalog_10406.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/q/b/qbond.jpg,59.9900,New,Adhesive,645-730,,"Out of Stock",,,12.0000
10383,"USFloors Coretec Plus XL: Reducer Muir Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long","USFloors Coretec Plus XL: Reducer Muir Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long",,http://23.251.155.152//usfloors-coretec-plus-xl-reducer-muir-oak-engineered-luxury-vinyl-plank-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_10383.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodreducer.jpg,49.9900,New,"Luxury Vinyl",645-730,,"Out of Stock",,,10.0000
10385,"Johnsonite Traditional Vinyl Wall Base: Zephyr 31 - 4"" x 120' Roll ","Johnsonite Traditional Vinyl Wall Base: Zephyr 31 - 4"" x 120' Roll ",,http://23.251.155.152/johnsonite-traditional-vinyl-wall-base-zephyr-31-4-x-120-roll/johnsonite/catalog_10385.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productJohnsonite.jpg,93.0000,New,"Molding Wall Base",645-730,,"Out of Stock",,,42.0000
10381,"USFloors Coretec Plus XL: T-mold Muir Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long","USFloors Coretec Plus XL: T-mold Muir Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long",,http://23.251.155.152/usfloors-coretec-plus-xl-t-mold-muir-oak-engineered-luxury-vinyl-plank-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_10381.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodtmold.jpg,49.9900,New,"Luxury Vinyl",645-730,,"Out of Stock",,,10.0000
1039,"Bruce Turlington Plank Oak: Threshold - Cherry 78"" Long","Bruce Turlington Plank Oak: Threshold - Cherry 78"" Long",,http://23.251.155.152//bruce-turlington-plank-oak-threshold-cherry-78-long/accessories/moldings-and-transitions-for-hardwood-floors/catalog_1039.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/producthttp://www1.gowebpix.com/efloors/1039.jpg,25.9900,New,Hardwood,645-730,,"Out of Stock",,,10.0000
1041,"Bruce Turlington Plank Oak: Stair Nose - Cherry 78"" Long","Bruce Turlington Plank Oak: Stair Nose - Cherry 78"" Long",,http://23.251.155.152//bruce-turlington-plank-oak-stair-nose-cherry-78-long/accessories/moldings-and-transitions-for-hardwood-floors/catalog_1041.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/producthttp://www1.gowebpix.com/efloors/1041.jpg,35.9900,New,Hardwood,645-730,,"Out of Stock",,,10.0000
10443,"LW Mountain Pre-Finished Hand-Scraped Oak: Stair Nose Golden Oak - 84"" Long","LW Mountain Pre-Finished Hand-Scraped Oak: Stair Nose Golden Oak - 84"" Long",,http://23.251.155.152//lw-mountain-pre-finished-hand-scraped-oak-stair-nose-golden-oak-84-long/hardwood/catalog_10443.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodstairnose.jpg,45.9900,New,Hardwood,645-730,,"Out of Stock",,,10.0000
10225,"Marazzi San Savino: Bullnose Greve - 3"" x 12""","Marazzi San Savino: Bullnose Greve - 3"" x 12""",,http://23.251.155.152/marazzi-san-savino-bullnose-greve-3-x-12/tile/catalog_10225.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/u/bullnose.jpg,3.4900,New,Tile,645-730,,"Out of Stock",,,10.0000
10236,"USFloors Coretec Plus: Overlap Stair Nose Empire Slate Engineered Luxury Vinyl Tile with Cork Comfort - 94"" Long","USFloors Coretec Plus: Overlap Stair Nose Empire Slate Engineered Luxury Vinyl Tile with Cork Comfort - 94"" Long",,http://23.251.155.152/usfloors-coretec-plus-overlap-stair-nose-empire-slate-engineered-luxury-vinyl-tile-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_10236.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/8/9/8969_200x200.jpg,49.9900,New,"Luxury Vinyl",645-730,,"Out of Stock",,,10.0000
10937,"Armstrong S-693 Premixed Grout Cornsilk 1 gallon bucket 0693408L12","Armstrong S-693 Premixed Grout Cornsilk 1 gallon bucket 0693408L12",,http://23.251.155.152/armstrong-s-693-premixed-grout-cornsilk-1-gallon-bucket-0693408l12/armstrong-alterna/catalog_10937.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/producthttp://www1.gowebpix.com/efloors/10937.jpg,59.9900,New,Grout,0693408L12,,"Out of Stock",,,12.0000
10262,"Mannington Adura LockSolid: Reducer Maple Plank Honeytone - 78"" Long","Mannington Adura LockSolid: Reducer Maple Plank Honeytone - 78"" Long",,http://23.251.155.152//mannington-adura-locksolid-reducer-maple-plank-honeytone-78-long/luxury-vinyl-tile/catalog_10262.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/l/v/lvtrd.jpg,59.9900,New,"Luxury Vinyl",645-730,,"Out of Stock",,,10.0000
10291,"Daltile Avondale: Bullnose Chateau Creme - 3"" x 12""","Daltile Avondale: Bullnose Chateau Creme - 3"" x 12""",,http://23.251.155.152/daltile-avondale-bullnose-chateau-creme-3-x-12/tile/catalog_10291.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/u/bullnose.jpg,4.7900,New,Tile,645-730,,"Out of Stock",,,10.0000
10293,"Daltile Avondale: Bullnose West Tower - 3"" x 12""","Daltile Avondale: Bullnose West Tower - 3"" x 12""",,http://23.251.155.152/daltile-avondale-bullnose-west-tower-3-x-12/tile/catalog_10293.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/u/bullnose.jpg,4.7900,New,Tile,645-730,,"Out of Stock",,,10.0000
107577,"Mannington Coordinations Collection: T-mold Zanzibar Paprika - 94"" Long","Mannington Coordinations Collection: T-mold Zanzibar Paprika - 94"" Long",,http://23.251.155.152/mannington-coordinations-collection-t-mold-zanzibar-paprika-94-long/laminate/catalog_107577.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productLamTMolding.jpg,27.9900,New,Laminate,SL871212DECO1P2,,"Out of Stock",,,
107581,"Shaw Avenues: Quarter Round Limed Oak - 94"" Long","Shaw Avenues: Quarter Round Limed Oak - 94"" Long",,http://23.251.155.152//shaw-avenues-quarter-round-limed-oak-94-long/laminate/catalog_107581.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productLamQuartRound.jpg,7.9900,New,Laminate,SL871212DECO1P2,,"Out of Stock",,,
107704,"Quick-Step Modello Collection: Quarter Round Mink Oak - 94.5"" Long","Quick-Step Modello Collection: Quarter Round Mink Oak - 94.5"" Long",,http://23.251.155.152//quick-step-modello-collection-quarter-round-mink-oak-94-5-long/laminate/catalog_107704.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productQSQR.jpg,6.9900,New,Laminate,0693408L12,,"Out of Stock",,,10.0000
107721,"USFloors Coretec Plus: T-mold Amalfi Beige Engineered Luxury Vinyl Tile with Cork Comfort - 78"" Long","USFloors Coretec Plus: T-mold Amalfi Beige Engineered Luxury Vinyl Tile with Cork Comfort - 78"" Long",,http://23.251.155.152/usfloors-coretec-plus-t-mold-amalfi-beige-engineered-luxury-vinyl-tile-with-cork-comfort-78-long/luxury-vinyl-tile/catalog_107721.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodtmold.jpg,49.9900,New,"Luxury Vinyl",0693408L12,,"Out of Stock",,,10.0000
10627,"Armstrong Rustics Premium: Quarter Round Reclaimed American Chestnut Sepia - 94"" Long","Armstrong Rustics Premium: Quarter Round Reclaimed American Chestnut Sepia - 94"" Long",,http://23.251.155.152//armstrong-rustics-premium-quarter-round-reclaimed-american-chestnut-sepia-94-long/laminate/catalog_10627.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productArmQtrRnd.jpg,19.9900,New,Laminate,871281,,"Out of Stock",,,10.0000
107578,"Shaw Avenues: T-mold Limed Oak - 94"" Long","Shaw Avenues: T-mold Limed Oak - 94"" Long",,http://23.251.155.152/shaw-avenues-t-mold-limed-oak-94-long/laminate/catalog_107578.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productLamTMolding.jpg,24.9900,New,Laminate,SL871212DECO1P2,,"Out of Stock",,,
107585,"Mannington Adura LockSolid Luxury Vinyl Plank Spalted Georgian Maple: Reducer Natural - 78"" Long","Mannington Adura LockSolid Luxury Vinyl Plank Spalted Georgian Maple: Reducer Natural - 78"" Long",,http://23.251.155.152//mannington-adura-locksolid-luxury-vinyl-plank-spalted-georgian-maple-reducer-natural-78-long/luxury-vinyl-tile/catalog_107585.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/l/v/lvtrd.jpg,59.9900,New,"Luxury Vinyl",SL871212DECO1P2,,"Out of Stock",,,
107687,"USFloors Coretec Plus: T-mold Kingswood Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long","USFloors Coretec Plus: T-mold Kingswood Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long",,http://23.251.155.152/usfloors-coretec-plus-t-mold-kingswood-oak-engineered-luxury-vinyl-plank-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_107687.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodtmold.jpg,42.9900,New,"Luxury Vinyl",0693408L12,,"Out of Stock",,,10.0000
107718,"USFloors Coretec Plus: T-mold Gold Coast Acacia Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long","USFloors Coretec Plus: T-mold Gold Coast Acacia Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long",,http://23.251.155.152/usfloors-coretec-plus-t-mold-gold-coast-acacia-engineered-luxury-vinyl-plank-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_107718.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodtmold.jpg,49.9900,New,"Luxury Vinyl",0693408L12,,"Out of Stock",,,10.0000
107722,"USFloors Coretec Plus: Reducer Amalfi Beige Engineered Luxury Vinyl Tile with Cork Comfort - 78"" Long","USFloors Coretec Plus: Reducer Amalfi Beige Engineered Luxury Vinyl Tile with Cork Comfort - 78"" Long",,http://23.251.155.152//usfloors-coretec-plus-reducer-amalfi-beige-engineered-luxury-vinyl-tile-with-cork-comfort-78-long/luxury-vinyl-tile/catalog_107722.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodreducer.jpg,49.9900,New,"Luxury Vinyl",0693408L12,,"Out of Stock",,,10.0000
11014,"Mannington Coordinations Carolina Heart Pine Stair Nose - 94"" Long","Mannington Coordinations Carolina Heart Pine Stair Nose - 94"" Long",,http://23.251.155.152/mannington-coordinations-carolina-heart-pine-stair-nose-94-long/accessories/moldings-and-transitions-for-laminate-floors/catalog_11014.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productLamStairnose.jpg,39.9900,New,Laminate,871281,,"Out of Stock",,,10.0000
107579,"Shaw Avenues: Stair Nose Limed Oak - 94"" Long","Shaw Avenues: Stair Nose Limed Oak - 94"" Long",,http://23.251.155.152/shaw-avenues-stair-nose-limed-oak-94-long/laminate/catalog_107579.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productLamStairNose.jpg,39.9900,New,Laminate,SL871212DECO1P2,,"Out of Stock",,,
107590,"Armstrong Beckford Plank: T-mold Bark - 78"" Long","Armstrong Beckford Plank: T-mold Bark - 78"" Long",,http://23.251.155.152/armstrong-beckford-plank-t-mold-bark-78-long/hardwood/catalog_107590.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodtmold.jpg,32.9900,New,Hardwood,SL871212DECO1P2,,"Out of Stock",,,
107693,"USFloors Coretec Plus: Stair Nose Kingswood Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long","USFloors Coretec Plus: Stair Nose Kingswood Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long",,http://23.251.155.152/usfloors-coretec-plus-stair-nose-kingswood-oak-engineered-luxury-vinyl-plank-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_107693.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodstairnose.jpg,49.9900,New,"Luxury Vinyl",0693408L12,,"Out of Stock",,,10.0000
107719,"USFloors Coretec Plus: T-mold Ankara Travertine Engineered Luxury Vinyl Tile with Cork Comfort - 94"" Long","USFloors Coretec Plus: T-mold Ankara Travertine Engineered Luxury Vinyl Tile with Cork Comfort - 94"" Long",,http://23.251.155.152/usfloors-coretec-plus-t-mold-ankara-travertine-engineered-luxury-vinyl-tile-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_107719.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodtmold.jpg,49.9900,New,"Luxury Vinyl",0693408L12,,"Out of Stock",,,10.0000
10703,"Chapco Safe-Set 299 Premium Vinyl Tile Adhesive - 1 Gallon Bucket","Chapco Safe-Set 299 Premium Vinyl Tile Adhesive - 1 Gallon Bucket",,http://23.251.155.152/chapco-safe-set-299-premium-vinyl-tile-adhesive-1-gallon-bucket/luxury-vinyl-tile/catalog_10703.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/c/h/chap299.jpg,45.9900,New,Adhesive,871281,,"Out of Stock",,,12.0000
10911,"Shaw Ancestry: T-mold Cask - 94"" Long","Shaw Ancestry: T-mold Cask - 94"" Long",,http://23.251.155.152/shaw-ancestry-t-mold-cask-94-long/laminate/catalog_10911.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/l/a/lamitm.jpg,22.8900,New,Laminate,871281,,"Out of Stock",,,
107580,"Shaw Avenues: Reducer Limed Oak - 94"" Long","Shaw Avenues: Reducer Limed Oak - 94"" Long",,http://23.251.155.152/shaw-avenues-reducer-limed-oak-94-long/laminate/catalog_107580.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productLamReducer.jpg,24.9900,New,Laminate,SL871212DECO1P2,,"Out of Stock",,,
107703,"USFloors Coretec Plus: Reducer Kingswood Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long","USFloors Coretec Plus: Reducer Kingswood Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long",,http://23.251.155.152//usfloors-coretec-plus-reducer-kingswood-oak-engineered-luxury-vinyl-plank-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_107703.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodreducer.jpg,42.9900,New,"Luxury Vinyl",0693408L12,,"Out of Stock",,,10.0000
107720,"USFloors Coretec Plus: Reducer Ankara Travertine Engineered Luxury Vinyl Tile with Cork Comfort - 94"" Long","USFloors Coretec Plus: Reducer Ankara Travertine Engineered Luxury Vinyl Tile with Cork Comfort - 94"" Long",,http://23.251.155.152//usfloors-coretec-plus-reducer-ankara-travertine-engineered-luxury-vinyl-tile-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_107720.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodreducer.jpg,49.9900,New,"Luxury Vinyl",0693408L12,,"Out of Stock",,,10.0000
10619,"Armstrong Rustics Premium: T-mold Reclaimed American Chestnut Sepia - 72"" Long","Armstrong Rustics Premium: T-mold Reclaimed American Chestnut Sepia - 72"" Long",,http://23.251.155.152/armstrong-rustics-premium-t-mold-reclaimed-american-chestnut-sepia-72-long/laminate/catalog_10619.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productArmTMold.jpg,36.9900,New,Laminate,871281,,"Out of Stock",,,10.0000
107576,"Mannington Restoration Collection: Overlap Stair Nose Sawmill Hickory Leather - 94"" Long","Mannington Restoration Collection: Overlap Stair Nose Sawmill Hickory Leather - 94"" Long",,http://23.251.155.152/mannington-restoration-collection-overlap-stair-nose-sawmill-hickory-leather-94-long/laminate/catalog_107576.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productLamStairnose.jpg,46.9900,New,Laminate,SL871212DECO1P2,,"Out of Stock",,,
107619,"Mannington Revolutions Plank Diamond Bay: Stair Nose Hawaiian Koa Aloha Gold - 94"" Long","Mannington Revolutions Plank Diamond Bay: Stair Nose Hawaiian Koa Aloha Gold - 94"" Long",,http://23.251.155.152/mannington-revolutions-plank-diamond-bay-stair-nose-hawaiian-koa-aloha-gold-94-long/laminate/catalog_107619.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productLamStairNose.jpg,41.9900,New,Laminate,SL871212DECO1P2,,"Out of Stock",,,
