Category,Manufacturer,"Manufacturer Part #",Title,Description,URL,Image,"Seller Part #",Condition,"Ship. Weight",Price,"Unit Pricing Measure","Unit Pricing Base Measure",UPC
,Hardwood,645-730,"Mohawk Rockford: T-Mold Oak Butterscotch - 84"" Long","Mohawk Rockford: T-Mold Oak Butterscotch - 84"" Long",http://23.251.155.152/mohawk-rockford-t-mold-oak-butterscotch-84-long/accessories/moldings-and-transitions-for-hardwood-floors/catalog_1301.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/t/-/t-molding.gif,1301,New,10.0000,36.9900,"1 ct","17 sq ft per box",
,"Molding Wall Base",645-730,"Johnsonite Traditional Rubber Wall Base: Sawgrass 665 - 4"" x 120' Roll ","Johnsonite Traditional Rubber Wall Base: Sawgrass 665 - 4"" x 120' Roll ",http://23.251.155.152/johnsonite-traditional-rubber-wall-base-sawgrass-665-4-x-120-roll/johnsonite/catalog_10540.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productJohnsonite.jpg,10540,New,42.0000,108.0000,"1 ct","21.86 sq ft per box",
,"Molding Wall Base",645-730,"Johnsonite Traditional Rubber Wall Base: TR1 Tannery - 4"" x 120' Roll ","Johnsonite Traditional Rubber Wall Base: TR1 Tannery - 4"" x 120' Roll ",http://23.251.155.152/johnsonite-traditional-rubber-wall-base-tr1-tannery-4-x-120-roll/johnsonite/catalog_10541.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productJohnsonite.jpg,10541,New,42.0000,108.0000,"1 ct","21.86 sq ft per box",
,"Square Nose",645-730,"Kahrs Spirit Collection: Square Nose Reducer Arctic Oak - 78"" Long","Kahrs Spirit Collection: Square Nose Reducer Arctic Oak - 78"" Long",http://23.251.155.152/kahrs-spirit-collection-square-nose-reducer-arctic-oak-78-long/hardwood/catalog_10077.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/k/a/kahrssqrd.jpg,10077,New,10.0000,49.9900,"1 ct","11.72 sq ft per box",
,Hardwood,645-730,"Bruce Turlington Plank Oak: Quarter Round - Cherry - 78"" Long","Bruce Turlington Plank Oak: Quarter Round - Cherry - 78"" Long",http://23.251.155.152//bruce-turlington-plank-oak-quarter-round-cherry-78-long/accessories/moldings-and-transitions-for-hardwood-floors/catalog_1035.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/producthttp://www1.gowebpix.com/efloors/1035.jpg,1035,New,10.0000,11.9900,"1 ct","10.76 sq ft per box",
,"Luxury Vinyl",645-730,"USFloors Coretec Plus XL: Stair Nose Muir Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long","USFloors Coretec Plus XL: Stair Nose Muir Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long",http://23.251.155.152/usfloors-coretec-plus-xl-stair-nose-muir-oak-engineered-luxury-vinyl-plank-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_10382.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/8/9/8969_200x200.jpg,10382,New,10.0000,49.9900,"1 ct","4.36 sq ft per box",
,Adhesive,645-730,"Tarkett 100 Clear Thin Spread Adhesive 1 Gallon Bucket","Tarkett 100 Clear Thin Spread Adhesive 1 Gallon Bucket",http://23.251.155.152/tarkett-100-clear-thin-spread-adhesive-1-gallon-bucket/nafco-permastone/catalog_10406.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/q/b/qbond.jpg,10406,New,12.0000,59.9900,"1 ct","4.36 sq ft per box",
,"Luxury Vinyl",645-730,"USFloors Coretec Plus XL: Reducer Muir Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long","USFloors Coretec Plus XL: Reducer Muir Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long",http://23.251.155.152//usfloors-coretec-plus-xl-reducer-muir-oak-engineered-luxury-vinyl-plank-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_10383.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodreducer.jpg,10383,New,10.0000,49.9900,"1 ct","4.36 sq ft per box",
,"Molding Wall Base",645-730,"Johnsonite Traditional Vinyl Wall Base: Zephyr 31 - 4"" x 120' Roll ","Johnsonite Traditional Vinyl Wall Base: Zephyr 31 - 4"" x 120' Roll ",http://23.251.155.152/johnsonite-traditional-vinyl-wall-base-zephyr-31-4-x-120-roll/johnsonite/catalog_10385.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/productJohnsonite.jpg,10385,New,42.0000,93.0000,"1 ct","4.36 sq ft per box",
,"Luxury Vinyl",645-730,"USFloors Coretec Plus XL: T-mold Muir Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long","USFloors Coretec Plus XL: T-mold Muir Oak Engineered Luxury Vinyl Plank with Cork Comfort - 94"" Long",http://23.251.155.152/usfloors-coretec-plus-xl-t-mold-muir-oak-engineered-luxury-vinyl-plank-with-cork-comfort-94-long/luxury-vinyl-tile/catalog_10381.htm?SID=g1jh47oor0s8htddin2mjrsjd0,http://23.251.155.152/pub/media/catalog/product/b/r/brucehardwoodtmold.jpg,10381,New,10.0000,49.9900,"1 ct","4.36 sq ft per box",
